Timestamp,Local time,Action Eye,Action Upper Face,Power Upper Face,Action Lower Face,Power Lower Face
1749333543.1145,14:59:03.114,neutral,frown,0.055873,neutral,0.0
1749333543.1457,14:59:03.145,neutral,frown,0.066674,neutral,0.0
1749333543.1768,14:59:03.176,neutral,frown,0.066674,neutral,0.0
1749333543.208,14:59:03.208,neutral,frown,0.066674,neutral,0.0
1749333543.2391,14:59:03.239,neutral,frown,0.066674,neutral,0.0
1749333543.2702,14:59:03.270,neutral,frown,0.075506,neutral,0.0
1749333543.3014,14:59:03.301,neutral,frown,0.075506,neutral,0.0
1749333543.3327,14:59:03.332,neutral,frown,0.075506,neutral,0.0
1749333543.3641,14:59:03.364,neutral,frown,0.075506,neutral,0.0
1749333543.3954,14:59:03.395,neutral,frown,0.062744,neutral,0.0
1749333543.4267,14:59:03.426,blink,frown,0.062744,neutral,0.0
1749333543.4581,14:59:03.458,blink,frown,0.062744,neutral,0.0
1749333543.4892,14:59:03.489,blink,frown,0.062744,neutral,0.0
1749333543.5204,14:59:03.520,blink,neutral,0.0,smile,0.257401
1749333543.5515,14:59:03.551,blink,neutral,0.0,smile,0.257401
1749333543.5826,14:59:03.582,neutral,neutral,0.0,smile,0.257401
1749333543.6138,14:59:03.613,neutral,neutral,0.0,smile,0.257401
1749333543.6449,14:59:03.644,neutral,neutral,0.0,smile,0.261711
1749333543.6761,14:59:03.676,neutral,neutral,0.0,smile,0.261711
1749333543.7072,14:59:03.707,neutral,neutral,0.0,smile,0.261711
1749333543.7385,14:59:03.738,neutral,neutral,0.0,smile,0.261711
1749333543.7699,14:59:03.769,neutral,neutral,0.0,smile,0.341576
1749333543.8012,14:59:03.801,neutral,neutral,0.0,smile,0.341576
1749333543.8326,14:59:03.832,neutral,neutral,0.0,smile,0.341576
1749333543.8639,14:59:03.863,neutral,neutral,0.0,smile,0.341576
1749333543.895,14:59:03.895,neutral,neutral,0.0,neutral,0.0
1749333543.9262,14:59:03.926,neutral,neutral,0.0,neutral,0.0
1749333543.9573,14:59:03.957,neutral,neutral,0.0,neutral,0.0
1749333543.9885,14:59:03.988,neutral,neutral,0.0,neutral,0.0
1749333544.0196,14:59:04.019,neutral,frown,0.883416,neutral,0.0
1749333544.0507,14:59:04.050,neutral,frown,0.883416,neutral,0.0
1749333544.0819,14:59:04.081,neutral,frown,0.883416,neutral,0.0
1749333544.1132,14:59:04.113,neutral,frown,0.883416,neutral,0.0
1749333544.1446,14:59:04.144,neutral,frown,0.539864,neutral,0.0
1749333544.1759,14:59:04.175,neutral,frown,0.539864,neutral,0.0
1749333544.2072,14:59:04.207,neutral,frown,0.539864,neutral,0.0
1749333544.2386,14:59:04.238,winkL,frown,0.539864,neutral,0.0
1749333544.2697,14:59:04.269,winkL,frown,0.062328,neutral,0.0
1749333544.3008,14:59:04.300,winkL,frown,0.062328,neutral,0.0
1749333544.332,14:59:04.332,winkL,frown,0.062328,neutral,0.0
1749333544.3631,14:59:04.363,winkL,frown,0.062328,neutral,0.0
1749333544.3943,14:59:04.394,neutral,frown,0.019326,neutral,0.0
1749333544.4254,14:59:04.425,neutral,frown,0.019326,neutral,0.0
1749333544.4565,14:59:04.456,neutral,frown,0.019326,neutral,0.0
1749333544.4879,14:59:04.487,neutral,frown,0.019326,neutral,0.0
1749333544.5192,14:59:04.519,neutral,neutral,0.0,neutral,0.0
1749333544.5506,14:59:04.550,neutral,neutral,0.0,neutral,0.0
1749333544.5819,14:59:04.581,neutral,neutral,0.0,neutral,0.0
1749333544.6132,14:59:04.613,neutral,neutral,0.0,neutral,0.0
1749333544.6446,14:59:04.644,neutral,neutral,0.0,neutral,0.0
1749333544.6757,14:59:04.675,neutral,neutral,0.0,neutral,0.0
1749333544.7069,14:59:04.706,neutral,neutral,0.0,neutral,0.0
1749333544.738,14:59:04.738,neutral,neutral,0.0,neutral,0.0
1749333544.7691,14:59:04.769,neutral,neutral,0.0,neutral,0.0
1749333544.8003,14:59:04.800,neutral,neutral,0.0,neutral,0.0
1749333544.8314,14:59:04.831,neutral,neutral,0.0,neutral,0.0
1749333544.8628,14:59:04.862,neutral,neutral,0.0,neutral,0.0
1749333544.8941,14:59:04.894,neutral,neutral,0.0,neutral,0.0
1749333544.9254,14:59:04.925,neutral,neutral,0.0,neutral,0.0
1749333544.9568,14:59:04.956,neutral,neutral,0.0,neutral,0.0
1749333544.9881,14:59:04.988,neutral,neutral,0.0,neutral,0.0
1749333545.0195,14:59:05.019,neutral,frown,0.330918,neutral,0.0
1749333545.0508,14:59:05.050,neutral,frown,0.330918,neutral,0.0
1749333545.0819,14:59:05.081,neutral,frown,0.330918,neutral,0.0
1749333545.1131,14:59:05.113,neutral,frown,0.330918,neutral,0.0
1749333545.1442,14:59:05.144,winkL,frown,0.831707,neutral,0.0
1749333545.1754,14:59:05.175,winkL,frown,0.831707,neutral,0.0
1749333545.2065,14:59:05.206,winkL,frown,0.831707,neutral,0.0
1749333545.2378,14:59:05.237,winkL,frown,0.831707,neutral,0.0
1749333545.2692,14:59:05.269,winkL,frown,0.851938,neutral,0.0
1749333545.3005,14:59:05.300,winkL,frown,0.851938,neutral,0.0
1749333545.3319,14:59:05.331,neutral,frown,0.851938,neutral,0.0
1749333545.3632,14:59:05.363,neutral,frown,0.851938,neutral,0.0
1749333545.3944,14:59:05.394,neutral,frown,1.0,neutral,0.0
1749333545.4256,14:59:05.425,neutral,frown,1.0,neutral,0.0
1749333545.4567,14:59:05.456,neutral,frown,1.0,neutral,0.0
