Timestamp,Local time,Counter,Interpolated,Contact Quality,AF3,T7,Pz,T8,AF4
1749332971.2818,14:49:31.281,72,false,0.0,4308.077,4490.0,4227.821,4438.333,4297.949
1749332971.2896,14:49:31.289,73,false,0.0,4294.487,4477.821,4196.667,4453.077,4291.41
1749332971.2975,14:49:31.297,74,false,0.0,4300.0,4483.974,4217.564,4464.615,4303.462
1749332971.3053,14:49:31.305,75,false,0.0,4324.359,4498.462,4233.59,4467.051,4315.513
1749332971.3132,14:49:31.313,76,false,0.0,4330.897,4491.795,4219.615,4461.282,4328.974
1749332971.321,14:49:31.321,77,false,0.0,4330.385,4493.077,4234.872,4457.179,4340.897
1749332971.3288,14:49:31.328,78,false,0.0,4332.179,4506.41,4247.821,4455.256,4325.769
1749332971.3366,14:49:31.336,79,false,0.0,4323.974,4501.923,4228.846,4445.256,4305.128
1749332971.3443,14:49:31.344,80,false,0.0,4323.974,4495.641,4237.051,4427.308,4313.462
1749332971.3521,14:49:31.352,81,false,0.0,4338.59,4494.231,4257.179,4408.846,4322.692
1749332971.3599,14:49:31.359,82,false,0.0,4344.744,4483.333,4244.103,4396.538,4312.564
1749332971.3677,14:49:31.367,83,false,0.0,4345.256,4486.795,4240.256,4397.821,4308.59
1749332971.3755,14:49:31.375,84,false,0.0,4342.821,4498.333,4243.59,4399.615,4307.692
1749332971.3833,14:49:31.383,85,false,0.0,4324.487,4488.59,4217.692,4393.462,4293.205
1749332971.3911,14:49:31.391,86,false,0.0,4310.256,4485.769,4210.128,4408.974,4286.41
1749332971.3989,14:49:31.398,87,false,0.0,4313.974,4493.974,4231.282,4445.513,4295.513
1749332971.4066,14:49:31.406,88,false,0.0,4310.513,4480.128,4224.872,4453.333,4297.692
1749332971.4144,14:49:31.414,89,false,0.0,4305.769,4478.077,4216.154,4441.41,4295.641
1749332971.4222,14:49:31.422,90,false,0.0,4319.487,4503.718,4237.692,4454.872,4303.846
1749332971.43,14:49:31.430,91,false,0.0,4319.103,4501.923,4238.718,4471.538,4303.718
1749332971.4377,14:49:31.437,92,false,0.0,4292.308,4481.923,4212.436,4458.718,4279.231
1749332971.4455,14:49:31.445,93,false,0.0,4284.487,4492.692,4205.897,4436.282,4256.41
1749332971.4533,14:49:31.453,94,false,0.0,4298.59,4509.231,4211.154,4419.359,4263.205
1749332971.4612,14:49:31.461,95,false,0.0,4301.795,4505.897,4207.692,4406.154,4284.744
1749332971.4689,14:49:31.468,96,false,0.0,4306.282,4503.077,4211.41,4397.308,4291.154
1749332971.4767,14:49:31.476,97,false,0.0,4319.744,4502.692,4218.59,4383.974,4280.128
1749332971.4845,14:49:31.484,98,false,0.0,4314.359,4492.949,4209.872,4368.462,4268.974
1749332971.4923,14:49:31.492,99,false,0.0,4300.513,4475.897,4197.051,4365.897,4265.0
1749332971.5,14:49:31.500,100,false,0.0,4307.692,4461.923,4198.974,4371.282,4265.128
1749332971.5078,14:49:31.507,101,false,0.0,4322.051,4470.385,4213.205,4382.436,4269.872
1749332971.5156,14:49:31.515,102,false,0.0,4322.692,4490.897,4221.538,4407.564,4275.0
1749332971.5234,14:49:31.523,103,false,0.0,4314.744,4484.487,4209.615,4431.795,4272.179
1749332971.5313,14:49:31.531,104,false,0.0,4314.487,4467.308,4198.718,4446.026,4273.462
1749332971.5392,14:49:31.539,105,false,0.0,4329.872,4480.641,4217.692,4461.41,4285.641
1749332971.547,14:49:31.547,106,false,0.0,4338.462,4497.692,4236.667,4467.308,4284.615
1749332971.5548,14:49:31.554,107,false,0.0,4325.641,4488.462,4223.974,4457.821,4269.872
1749332971.5627,14:49:31.562,108,false,0.0,4328.333,4480.769,4216.026,4457.564,4271.667
1749332971.5705,14:49:31.570,109,false,0.0,4357.308,4481.538,4226.282,4464.872,4279.872
1749332971.5783,14:49:31.578,110,false,0.0,4365.128,4475.0,4214.359,4452.949,4274.359
1749332971.5861,14:49:31.586,111,false,0.0,4349.615,4477.436,4196.154,4431.282,4277.564
1749332971.594,14:49:31.594,112,false,0.0,4347.692,4485.769,4209.615,4420.897,4289.231
1749332971.6018,14:49:31.601,113,false,0.0,4347.308,4479.744,4220.256,4413.718,4282.436
1749332971.6096,14:49:31.609,114,false,0.0,4336.923,4485.769,4208.974,4404.231,4275.513
1749332971.6175,14:49:31.617,115,false,0.0,4341.154,4511.026,4212.949,4401.282,4286.41
1749332971.6254,14:49:31.625,116,false,0.0,4353.333,4511.667,4227.436,4405.641,4292.436
1749332971.6332,14:49:31.633,117,false,0.0,4349.744,4491.923,4223.333,4411.41,4290.641
1749332971.641,14:49:31.641,118,false,0.0,4343.333,4484.615,4215.641,4412.949,4293.077
1749332971.6488,14:49:31.648,119,false,0.0,4346.154,4477.436,4215.256,4414.744,4290.513
1749332971.6567,14:49:31.656,120,false,0.0,4351.795,4473.59,4213.077,4427.051,4290.769
1749332971.6645,14:49:31.664,121,false,0.0,4357.821,4489.744,4216.282,4439.615,4307.051
1749332971.6723,14:49:31.672,122,false,0.0,4356.795,4493.59,4223.333,4438.462,4312.692
1749332971.6801,14:49:31.680,123,false,0.0,4349.231,4478.333,4219.103,4440.256,4299.231
1749332971.688,14:49:31.688,124,false,0.0,4354.231,4481.154,4216.026,4450.769,4299.487
1749332971.6959,14:49:31.695,125,false,0.0,4364.744,4487.564,4226.282,4446.026,4310.897
1749332971.7037,14:49:31.703,126,false,0.0,4360.385,4478.462,4231.41,4424.615,4307.692
1749332971.7115,14:49:31.711,127,false,0.0,4351.282,4482.692,4221.667,4407.821,4301.026
1749332971.7192,14:49:31.719,0,false,0.0,4347.692,4494.615,4212.308,4398.462,4297.949
1749332971.727,14:49:31.727,1,false,0.0,4343.718,4492.949,4211.667,4391.667,4288.718
1749332971.7348,14:49:31.734,2,false,0.0,4342.821,4499.359,4216.795,4389.103,4289.615
