Timestamp,Local time,Battery Level,Battery Percent,Wireless Signal,Overall Quality,Quality Sensor 0,Quality Sensor 1,Quality Sensor 2,Quality Sensor 3,Quality Sensor 4
"1749333095.0467","14:51:35.046","3","68","1.0","83","4","4","4","2","4"
"1749333095.546","14:51:35.546","3","68","1.0","83","4","4","4","2","4"
"1749333096.0464","14:51:36.046","3","68","1.0","83","4","4","4","2","4"
"1749333096.5461","14:51:36.546","3","68","1.0","83","4","4","4","2","4"
"1749333097.0457","14:51:37.045","3","68","1.0","83","4","4","4","2","4"
"1749333097.5461","14:51:37.546","3","68","1.0","83","4","4","4","2","4"
"1749333098.0456","14:51:38.045","3","68","1.0","83","4","4","4","2","4"
"1749333098.5454","14:51:38.545","3","68","1.0","83","4","4","4","2","4"
"1749333099.0458","14:51:39.045","3","68","1.0","83","4","4","4","2","4"
"1749333099.5451","14:51:39.545","3","68","1.0","83","4","4","4","2","4"
"1749333100.0445","14:51:40.044","3","68","1.0","83","4","4","4","2","4"
"1749333100.5447","14:51:40.544","3","68","1.0","83","4","4","4","2","4"
"1749333101.0444","14:51:41.044","3","68","1.0","83","4","4","4","2","4"
"1749333101.5438","14:51:41.543","3","68","1.0","83","4","4","4","2","4"
"1749333102.0443","14:51:42.044","3","68","1.0","83","4","4","4","2","4"
"1749333102.5439","14:51:42.543","3","68","1.0","83","4","4","4","2","4"
"1749333103.0434","14:51:43.043","3","68","1.0","83","4","4","4","2","4"
"1749333103.5435","14:51:43.543","3","68","1.0","83","4","4","4","2","4"
"1749333104.0434","14:51:44.043","3","68","1.0","83","4","4","4","2","4"
"1749333104.5428","14:51:44.542","3","68","1.0","83","4","4","4","2","4"
"1749333105.0427","14:51:45.042","3","68","1.0","83","4","4","4","2","4"
"1749333105.5427","14:51:45.542","3","68","1.0","83","4","4","4","2","4"
"1749333106.0421","14:51:46.042","3","68","1.0","83","4","4","4","2","4"
"1749333106.5424","14:51:46.542","3","68","1.0","83","4","4","4","2","4"
"1749333107.0426","14:51:47.042","3","68","1.0","83","4","4","4","2","4"
"1749333107.542","14:51:47.542","3","68","1.0","83","4","4","4","2","4"
"1749333108.0419","14:51:48.041","3","68","1.0","83","4","4","4","2","4"
"1749333108.5421","14:51:48.542","3","68","1.0","83","4","4","4","2","4"
"1749333109.0413","14:51:49.041","3","68","1.0","83","4","4","4","2","4"
"1749333109.5411","14:51:49.541","3","68","1.0","83","4","4","4","2","4"
"1749333110.0413","14:51:50.041","3","68","1.0","83","4","4","4","2","4"
"1749333110.541","14:51:50.541","3","68","1.0","83","4","4","4","2","4"
"1749333111.0407","14:51:51.040","3","68","1.0","83","4","4","4","2","4"
"1749333111.5407","14:51:51.540","3","68","1.0","83","4","4","4","2","4"
"1749333112.0403","14:51:52.040","3","68","1.0","83","4","4","4","2","4"
"1749333112.54","14:51:52.540","3","68","1.0","83","4","4","4","2","4"
"1749333113.0404","14:51:53.040","3","68","1.0","83","4","4","4","2","4"
"1749333113.54","14:51:53.540","3","68","1.0","83","4","4","4","2","4"
